Name	z	Type	Mass	Mass_e	SFR	SFR_e	Sigma_M	Sigma_Merr	Sigma_SFR	SigmaSFR_err	r50_kpc	R50_err
SN2007hb	0.022	Ic	10.55	0.03	0.80	0.07	8.51	0.03	-1.24	0.07	4.87	0.01
SN2007hi	0.070	II	8.11	0.35	-1.49	0.26	10.20	0.35	0.59	0.26	0.06	0.12
SN2007hn	0.030	Ic	9.86	0.30	-0.03	0.30	8.29	0.30	-1.60	0.30	3.30	0.04
SN2007hs	0.070	II	8.68	0.20	-1.11	0.28	7.65	0.20	-2.15	0.28	2.50	0.75
SN2007hw	0.080	II	10.85	0.03	1.00	0.07	8.55	0.03	-1.30	0.07	7.15	0.06
SN2007ib	0.030	II	9.52	0.18	-0.02	0.30	7.69	0.18	-1.86	0.30	4.31	0.03
SN2007iu	0.090	II	9.31	0.13	-0.35	0.15	6.59	0.13	-3.07	0.15	9.77	0.24
SN2007ja	0.090	IIP	10.65	0.03	1.00	0.07	8.22	0.03	-1.43	0.07	7.78	0.08
SN2007jf	0.070	IIP	9.65	0.13	-0.03	0.21	7.78	0.13	-1.90	0.21	5.06	0.19
SN2007jm	0.090	IIn	9.77	0.10	0.10	0.16	8.34	0.10	-1.34	0.16	4.36	0.19
SN2007jn	0.060	II	8.99	0.14	-0.38	0.21	7.54	0.14	-1.84	0.21	4.79	0.24
SN2007kw	0.070	II	10.82	0.06	0.72	0.08	8.67	0.06	-1.44	0.08	6.24	0.07
SN2007ky	0.070	II	10.85	0.03	0.90	0.07	8.02	0.03	-1.93	0.07	14.62	0.12
